1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
QIAD	Leptosporangiate Monilophytes	Hymenophyllaceae	Hymenophyllum bivalve	young fronds	sequenced	D.O. Burge 1356 (NSW Pending)	D. Burge	C. dePamphilis
TRPJ	Leptosporangiate Monilophytes	Hymenophyllaceae	Hymenophyllum cupressiforme	young fronds and sori	sequenced	D.O. Burge 1383 (NSW Pending)	D. Burge	C. dePamphilis
BIVQ	Leptosporangiate Monilophytes	Osmundaceae	Osmundastrum cinnamomeum		sequenced		D. W. Stevenson	BGI
RFMZ	Leptosporangiate Monilophytes	Osmundaceae	Osmundastrum cinnamomeum	frond	sequenced	NYBG	D. W. Stevenson	Lisa DeGironimo
YKSS	Leptosporangiate Monilophytes	Osmundaceae	Osmunda regalis	leaf	sequenced	RG	D. W. Stevenson	BGI
UOMY	Leptosporangiate Monilophytes	Osmundaceae	Osmunda sp.	gametophyte	sequenced		D. W. Stevenson	BGI
VIBO	Leptosporangiate Monilophytes	Osmundaceae	Osmunda javanica	mature leaves	sequenced	M. Ruhsam 19933718 A (E)	M. Ruhsam	M. Ruhsam
UWOD	Leptosporangiate Monilophytes	Plagiogyriaceae	Plagiogyria japonica	young leaves	sequenced	"RBGE accession 20061485 A	 (pending)"	M. Ruhsam	M. Ruhsam
IXLH	Leptosporangiate Monilophytes	Polypodiaceae	Polypodium hesperium	young sterile leaves - B type	sequenced	C.J. Rothfels 4086 (DUKE)	C. Rothfels	C. Rothfels
GYFU	Leptosporangiate Monilophytes	Polypodiaceae	Polypodium hesperium	young sterile leaves - A type	sequenced	E.M. Sigel 2011-04A (DUKE)	C. Rothfels	C. Rothfels
YLJA	Leptosporangiate Monilophytes	Polypodiaceae	Polypodium amorphum	young sterile leaves	sequenced	E.M. Sigel 2010-125 (DUKE)	C. Rothfels	C. Rothfels
CJNT	Leptosporangiate Monilophytes	Polypodiaceae	Polypodium glycyrrhiza	leaf (sterile?)	sequenced	Rothfels 4086 (DUKE)	C. Rothfels	C. Rothfels
ZQYU	Leptosporangiate Monilophytes	Polypodiaceae	Phlebodium pseudoaureum	leaf	sequenced	Deyholos s.n (DUKE)	M. Deyholos	Yu Yang
UJWU	Leptosporangiate Monilophytes	Polypodiaceae	Pleopeltis polypodioides	dehydrating fronds	sequenced	Stewart and Burris	N. Stewart	BGI
ORJE	Leptosporangiate Monilophytes	Polypodiaceae	Phymatosorus grossus	leaf	sequenced	"S.W. Shaw-Oahu	 Hawaii"	S. Shaw	L. DeGironimo
OQWW	Leptosporangiate Monilophytes	Davalliaceae	Davallia fejeensis	leaf	sequenced		D. W. Stevenson	BGI
NWWI	Leptosporangiate Monilophytes	Lomariopsidaceae	Nephrolepis exaltata	young leaf	sequenced	L. DeGironimo 'Bostoniensis' (NY)	D. W. Stevenson	L. DeGironimo
JBLI	Leptosporangiate Monilophytes	Elaphoglossaceae	Bolbitis repanda	leaf	sequenced		D. W. Stevenson	BGI
FQGQ	Leptosporangiate Monilophytes	Dryopteridaceae	Polystichum acrostichoides	Mix of sterile and young fertile leaves.	sequenced	Rothfels 4160 (DUKE)	C. Rothfels	C. Rothfels
RFRB	Leptosporangiate Monilophytes	Hypodematiaceae	Didymochlaena truncatula	young fronds	sequenced	RBG 20001061 (NSW Pending)	D. Burge	C. dePamphilis
WGTU	Leptosporangiate Monilophytes	Hypodematiaceae	Leucostegia immersa	just unfurling leaf plus young leaf	sequenced	"RBGE accession	 20040613 D	 E0029474"	M. Ruhsam	M. Ruhsam
PSKY	Leptosporangiate Monilophytes	Aspleniaceae	Asplenium nidus	leaf	sequenced	L. DeGironimo 1396/76-A (NY)	D. W. Stevenson	L. DeGironimo
KJZG	Leptosporangiate Monilophytes	Aspleniaceae	Asplenium platyneuron	leaves	sequenced	Stewart and Burris	N. Stewart	BGI
OCZL	Leptosporangiate Monilophytes	Diplaziopsidaceae	Homalosorus pycnocarpos	sterile leaves (maybe a few sporangia)	sequenced	Rothfels 4119 (DUKE)	C. Rothfels	C. Rothfels
MROH	Leptosporangiate Monilophytes	Thelypteridaceae	Thelypteris acuminata	young leaf	sequenced	L. DeGironimo  477/77-A (NY)	D. W. Stevenson	L. DeGironimo
YJJY	Leptosporangiate Monilophytes	Woodsiaceae	Woodsia scopulina	young sterile leaves	sequenced	E. M. Sigel 2011-42 (DUKE)	C. Rothfels	C. Rothfels
YQEC	Leptosporangiate Monilophytes	Woodsiaceae	Woodsia ilvensis	young leaves	sequenced	A. Larsson 79 (UPS)	A. Larsson	A. Larsson
HTFH	Leptosporangiate Monilophytes	Onocleaceae	Onoclea sensibilis	leaves	sequenced	Stewart and Burris	N. Stewart	BGI
VITX	Leptosporangiate Monilophytes	Blechnaceae	Blechnum spicant	young leaf	sequenced	1746/2008-A NYBG	D. W. Stevenson	BGI
URCP	Leptosporangiate Monilophytes	Athyriaceae	Athyrium filix-femina	young leaf	sequenced	L. DeGironimo 941/89-C (NY)	D. W. Stevenson	L. DeGironimo
FCHS	Leptosporangiate Monilophytes	Athyriaceae	Deparia lobato-crenata	fertile leaf	sequenced	Rothfels 4117 (DUKE)	C. Rothfels	C. Rothfels
UFJN	Leptosporangiate Monilophytes	Athyriaceae	Diplazium wichurae	fertile leaf	sequenced	Rothfels 4107 (DUKE)	C. Rothfels	C. Rothfels
HNDZ	Leptosporangiate Monilophytes	Cystopteridaceae	Cystopteris utahensis	Mostly sterile leaf tissue; possibly some fertile.	sequenced	Grown from spores from Rink 6566 (DU	C. Rothfels	C. Rothfels
LHLE	Leptosporangiate Monilophytes	Cystopteridaceae	Cystopteris fragilis	young leaf+unfurling fiddlehead; appeared sterile	sequenced	E.M. Sigel 2011-49 (DUKE)	C. Rothfels	C. Rothfels
XXHP	Leptosporangiate Monilophytes	Cystopteridaceae	Cystopteris fragilis	fronds	sequenced	Stewart and Burris	N. Stewart	N. Stewart
RICC	Leptosporangiate Monilophytes	Cystopteridaceae	Cystopteris reevesiana	leaf (perhaps with some developing sporangia)	sequenced	F.W. Li 1213 (DUKE)	C. Rothfels	C. Rothfels
YOWV	Leptosporangiate Monilophytes	Cystopteridaceae	Cystopteris protrusa	"sterile leaves	 slightly older"	sequenced	C.J. Rothfels 3842 (DUKE)	C. Rothfels	C. Rothfels
HEGQ	Leptosporangiate Monilophytes	Cystopteridaceae	Gymnocarpium dryopteris	young sterile leaves	sequenced	C.J.Rothfels 4068 w/S.Zylinski(DUKE)	C. Rothfels	C. Rothfels
MTGC	Leptosporangiate Monilophytes	Dennstaedtiaceae	Dennstaedtia davallioides		sequenced	Burge s.n. (ACC16132)	C. Rothfels	C. Rothfels
WCLG	Leptosporangiate Monilophytes	Pteridaceae	Adiantum aleuticum	young sterile leaves	sequenced	C.J.Rothfels 4097 w/S.Zylinski(DUKE)	C. Rothfels	C. Rothfels
BMJR	Leptosporangiate Monilophytes	Pteridaceae	Adiantum raddianum	leaf	sequenced	132698 (ALTA)	M. Deyholos	Yu Yang
DCDT	Leptosporangiate Monilophytes	Pteridaceae	Gaga arizonica	"sterile leaves	 some very young"	sequenced	F.W. Li 1290 (DUKE)	C. Rothfels	C. Rothfels
WQML	Leptosporangiate Monilophytes	Pteridaceae	Cryptogramma acrostichoides	Mix of sterile and young fertile leaves.	sequenced	Rothfels 4060.2 (DUKE)	C. Rothfels	C. Rothfels
ZXJO	Leptosporangiate Monilophytes	Pteridaceae	Parahemionitis cordata	leaf	sequenced	L. DeGironimo 3.13.11 (NY)	D. W. Stevenson	L. DeGironimo
POPJ	Leptosporangiate Monilophytes	Pteridaceae	Pteris vittata	fronds	sequenced	Stewart and Burris	N. Stewart	N. Stewart
FLTD	Leptosporangiate Monilophytes	Pteridaceae	Pteris ensiformis	young leaves	sequenced	Soltis and Miles 3001	D. Soltis	I. Jordon-Thaden
UJTT	Leptosporangiate Monilophytes	Pteridaceae	Pityrogramma trifoliata	leaf (perhaps with some developing sporangia)	sequenced	Rothfels 4109 (DUKE)	C. Rothfels	C. Rothfels
YCKE	Leptosporangiate Monilophytes	Pteridaceae	Notholaena montieliae	"young leaves	 possibly fertile"	sequenced	C.J. Rothfels 4098. (DUKE)	C. Rothfels	C. Rothfels
XDDT	Leptosporangiate Monilophytes	Pteridaceae	Argyrochosma nivea	young leaves probably sterile	sequenced	V. Reeb 26-V-02/12 (DUKE)	C. Rothfels	C. Rothfels
GSXD	Leptosporangiate Monilophytes	Pteridaceae	Myriopteris rufa	"young leaves	 possibly fertile"	sequenced	"C.J.Rothfels 3903	 w/S.Zylinski(DUKE"	C. Rothfels	C. Rothfels
SKYV	Leptosporangiate Monilophytes	Pteridaceae	Vittaria lineata	"leaf	 mostly or entirely sterile (hard to tell)"	sequenced	Rothfels 4120 (DUKE)	C. Rothfels	C. Rothfels
NDUV	Leptosporangiate Monilophytes	Pteridaceae	Vittaria appalachiana	gametophyte	sequenced	F.W. Li 1568 (DUKE)	Fay-Wei Li	Fay-Wei Li
PIVW	Leptosporangiate Monilophytes	Pteridaceae	Ceratopteris thalictroides	young leaf	sequenced	NYBG	D. W. Stevenson	Lisa DeGironimo
NOKI	Leptosporangiate Monilophytes	Lindsaeaceae	Lindsaea linearis	Young fronds and sori	sequenced	D.O. Burge 1381 (NSW Pending)	D.O. Burge	D.O. Burge
YIXP	Leptosporangiate Monilophytes	Lindsaeaceae	Lindsaea microphylla	Young fronds and sori	sequenced	D.O. Burge 1377 (NSW Pending)	D.O. Burge	D.O. Burge
BMIF	Leptosporangiate Monilophytes	Lindsaeaceae	Aspenium sp.	young leaf	sequenced	NYBG 911853	D. W. Stevenson	Lisa DeGironimo
VVRN	Leptosporangiate Monilophytes	Lonchitidaceae	Lonchitis hirsuta	young leaf	sequenced	NYBG 331/81-A	D. W. Stevenson	Lisa DeGironimo
CVEG	Leptosporangiate Monilophytes	Salviniaceae	Azolla cf. caroliniana	sterile plants (leaves)	sequenced	Rothfels 4138 (DUKE)	C. Rothfels	C. Rothfels
KIIX	Leptosporangiate Monilophytes	Marsileaceae	Pilularia globulifera	young leaves	sequenced	"RBGE accession	 20040025 A	 (pending"	M. Ruhsam	M. Ruhsam
CQPW	Leptosporangiate Monilophytes	Anemiaceae	Anemia tomentosa	sterile leaf	sequenced	Rothfels 4111 (DUKE)	C. Rothfels	C. Rothfels
PBUU	Leptosporangiate Monilophytes	Lygodiaceae	Lygodium japonicum	mix of fertile and sterile leaf tissue	sequenced	Rothfels 4110 (DUKE)	C. Rothfels	C. Rothfels
ORKS	Mosses	Bartramiaceae	Philonotis fontana	gametophyte	sequenced	S. Joya 1068 (UBC)	S. Graham	S. Graham
BGXB	Mosses	Mielichhoferiaceae	Plagiomnium insigne	gametophyte	sequenced	S. Joya 623c (UBC)	S. Graham	S. Graham
JMXW	Mosses	Bryaceae	Bryum argenteum	"mostly gametophyte	 but possibly sporophytic tissu"	sequenced	Rothfels 4099 (DUKE)	C. Rothfels	L. Pokorny
WNGH	Mosses	Aulacomniaceae	Aulacomnium heterostichum	"Mostly sterile	 stem-tips."	sequenced	Rothfels 4157 (DUKE)	C. Rothfels	C. Rothfels
VBMM	Mosses	Brachytheciaceae	Claopodium rostratum	"mostly gametophyte	 possibly some sporophytic tiss"	sequenced	Rothfels 4123 (DUKE)	C. Rothfels	L. Pokorny
QMWB	Mosses	Myuriaceae	Anomodon attenuatus	"mostly gametophyte	 possibly some sporophytic tiss"	sequenced	Rothfels 4122 (DUKE)	C. Rothfels	C. Rothfels
ABCD	Mosses	Grimmiaceae	Racomitrium elongatum	gametophyte	sequenced	S. Joya 1994 (UBC)	S. Graham	S. Graham
RDOO	Mosses	Grimmiaceae	Racomitrium varium	gametophyte	sequenced	CJR4359 (DUKE)	C. Rothfels	C. Rothfels
BPSG	Mosses	Scouleriaceae	Scouleria aquatica	gametophyte (possibly small number of capsules)	sequenced	CJR4358 (DUKE)	C. Rothfels	C. Rothfels
HRWG	Mosses	Buxbaumiaceae	Buxbaumia aphylla	"6-7 sporophytes	 possibly some gametophytic tissue"	sequenced	AL606 (UPS)	A. Larsson	A. Larsson
NGTD	Mosses	Dicranaceae	Dicranum scoparium	gametophyte	sequenced	S. Joya 715a (UBC)	S. Graham	S. Graham
VMXJ	Mosses	Leucobryaceae	Leucobryum albidum	gametophyte	sequenced	Rothfels 4121 (DUKE)	C. Rothfels	C. Rothfels
RGKI	Mosses	Leucobryaceae	Leucobryum glaucum	"gametophyte	 tip of shoots"	sequenced	AL607 (UPS)	A. Larsson	A. Larsson
FFPD	Mosses	Ditrichaceae	Ceratodon purpureus	"gametophyte branches/leaves	 possibly some sporeop"	sequenced	Pokorny NC24 (DUKE)	C. Rothfels	L. Pokorny
AWOI	Mosses	Diphysciaceae	Diphyscium foliosum	Mostly the little turrets (so mix of young sporoph	sequenced	Rothfels 4153 (DUKE)	C. Rothfels	C. Rothfels
KEFD	Mosses	Encalyptaceae	Encalypta streptocarpa	"gametophyte	 whole shoot/tip of shoots	 possibly s"	sequenced	AL600 (UPS)	A. Larsson	A. Larsson
XWHK	Mosses	Bryaceae	Rosulabryum cf. capillare	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC25 (DUKE)	C. Rothfels	L. Pokorny
YEPO	Mosses	Funariaceae	Physcomitrium sp.	"gametophyte	 possibly some sporophytic tissue"	sequenced	Rothfels 4136 (DUKE)	C. Rothfels	L. Pokorny
YWNF	Mosses	Hedwigiaceae	Hedwigia ciliata	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC15 (DUKE)	C. Rothfels	C. Rothfels
WSPM	Mosses	Hylocomiaceae	Loeskeobryum brevirostre	"gametophyte	 possibly some sporophytic tissue"	sequenced	Rothfels 4128 (DUKE)	C. Rothfels	L. Pokorny
ZACW	Mosses	Leucodontaceae	Leucodon brachypus	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC22 (DUKE)	C. Rothfels	L. Pokorny
LNSF	Mosses	Pylaisiaceae	Stereodon subimponens	gametophyte	sequenced	S. Joya 625a (UBC)	S. Graham	S. Graham
QKQO	Mosses	Plagiotheciaceae	Pseudotaxiphyllum elegans	"gametophyte	 possibly some sporophytic tissue"	sequenced	Rothfels 4126 (DUKE)	C. Rothfels	C. Rothfels
EEMJ	Mosses	Thuidiaceae	Thuidium delicatulum	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC12 (DUKE)	C. Rothfels	L. Pokorny
JADL	Mosses	Brachytheciaceae	Rhynchostegium serrulatum	"gametophyte	 possibly some sporophytic tissue"	sequenced	Rothfels 4100 (DUKE)	C. Rothfels	L. Pokorny
IGUH	Mosses	Leucodontaceae	Leucodon julaceus	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC13 (DUKE)	C. Rothfels	C. Rothfels
TAVP	Mosses	Calliergonaceae	Calliergon cordifolium	"gametophyte	 whole shoot/tip of shoots"	sequenced	AL609 (UPS)	A. Larsson	A. Larsson
MIRS	Mosses	Climaciaceae	Climacium dendroides	"gametophyte	 whole shoot/tip of shoots"	sequenced	AL603 (UPS)	A. Larsson	A. Larsson
DHWX	Mosses	Fontinalaceae	Fontinalis antipyretica	"gametophyte	 whole shoot/tip of shoots"	sequenced	AL608 (UPS)	A. Larsson	A. Larsson
TMAJ	Mosses	Neckeraceae	Neckera douglasii	gametophyte with gametangia	sequenced	CJR4361 (DUKE)	C. Rothfels	C. Rothfels / Li
CMEQ	Mosses	Orthotrichaceae	Orthotrichum lyellii	gametophyte	sequenced	S. Joya 623b (UBC)	S. Graham	S. Graham
SZYG	Mosses	Polytrichaceae	Polytrichum commune	gametophyte	sequenced	in preparation	D. W. Stevenson	M. Deyholos
ZTHV	Mosses	Polytrichaceae	Atrichum angustatum	"Mostly sterile	 stem-tips."	sequenced	Rothfels 4154 (DUKE)	C. Rothfels	C. Rothfels
GRKU	Mosses	Pottiaceae	Syntrichia princeps	gametophyte	sequenced	S. Joya 715 (UBC)	S. Graham	S. Graham
GOWD	Mosses	Sphagnaceae	Sphagnum lescurii	gametophyte	sequenced	in preparation	J. Shaw	M. Deyholos
RCBT	Mosses	Sphagnaceae	Sphagnum palustre	"Mostly sterile	 stem-tips."	sequenced	Rothfels 4143 (DUKE)	C. Rothfels	C. Rothfels
UHLI	Mosses	Sphagnaceae	Sphagnum recurvum	"Mostly sterile	 stem-tips."	sequenced	Rothfels 4144 (DUKE)	C. Rothfels	C. Rothfels
SKQD	Mosses	Takakiaceae	Takakia lepidozioides	gametophyte	sequenced	Y. Chang 05-02 (UBC)	D. W. Stevenson	BGI
HVBQ	Mosses	Tetraphidaceae	Tetraphis pellucida	"gametophyte	 mainly gemma-cup-shoots	 whole shoot/"	sequenced	AL605 (UPS)	A. Larsson	A. Larsson
ZQRI	Mosses	Timmiaceae	Timmia austriaca	gametophyte	sequenced	S. Joya 623a (UBC)	S. Graham	S. Graham
FANS	Hornworts	Leiosporocerotaceae	Leiosporoceros dussii	sporophytes	sequenced	Juan Carlos VIllarreal et al. 1285	J. C. Villarreal	BGI
ANON	Hornworts	Leiosporocerotaceae	Leiosporoceros dussii	sporophyte	sequenced		JC Villareal	Lisa DeGironimo
IQJU	Hornworts	Anthoceroceae	Anthoceros angustus		sequenced		J. C. Villarreal	BGI
TWUW	Hornworts	Anthoceroceae	Anthoceros agrestis		sequenced		Peter Szovenyi	Lisa DeGironimo
BSNI	Hornworts	Anthoceroceae	Anthoceros agrestis		sequenced		Peter Szovenyi	Lisa DeGironimo
FAJB	Hornworts	Notothyladaceae	Paraphymatoceros hallii	gametophyte	sequenced	Bill Doyle s.n. (ABSH)	Fay-Wei Li	Fay-Wei Li
WCZB	Hornworts	Notothyladaceae	Phaeoceros carolinianus	gametophyte	sequenced	F.W. Li 1570 (DUKE)	Fay-Wei Li	Fay-Wei Li
RXRQ	Hornworts	Notothyladaceae	Phaeoceros carolinianus	sporophyte	sequenced	F.W. Li 1570 (DUKE)	Fay-Wei Li	Fay-Wei Li
WEEQ	Hornworts	Notothyladaceae	Phaeoceros carolinianus	gametophyte	sequenced	F.-W. Li 1575 (DUKE)	F.-W. Li	Lisa DeGironimo
ZFRE	Hornworts	Notothyladaceae	Phaeoceros carolinianus	sporophyte	sequenced	F.-W. Li 1575 (DUKE)	F.-W. Li	Lisa DeGironimo
DXOU	Hornworts	Dendrocerotaceae	Nothoceros aenigmaticus	gametophyte	sequenced	J. C. VIllarreal 1026B (CONN)	J. C. Villarreal	J. C. Villarreal
TCBC	Hornworts	Dendrocerotaceae	Nothoceros vincentianus	gametophyte	sequenced	Villarreal 1280 (CONN)	J. C. Villarreal	J. C. Villarreal
UCRN	Hornworts	Dendrocerotaceae	Megaceros flagellaris	gametophyte	sequenced	B. Crandall-Stotler s.n. (ABSH)	Fay-Wei Li	Fay-Wei Li
AKXB	Hornworts	Dendrocerotaceae	Phaeomegaceros coriaceus	sporophyte	sequenced		JC Villareal	Lisa DeGironimo
AEXY	Liverworts	Blasiaceae	Blasia sp.	whole plant	sequenced	9-Sep	D. W. Stevenson	L. DeGironimo
YBQN	Liverworts	Cephaloziaceae	Odontoschisma prostratum	Sterile (seemingly) branches	sequenced	Rothfels 4145 (DUKE)	C. Rothfels	C. Rothfels
WZYK	Liverworts	Lepidoziaceae	Bazzania trilobata	gametophyte	sequenced	in preparation	D. W. Stevenson	BGI
RTMU	Liverworts	Calypogeiaceae	Calypogeia fissa	Sterile (seemingly) branches	sequenced	Rothfels 4156 (DUKE)	C. Rothfels	C. Rothfels
CHJJ	Liverworts	Frullaniaceae	Frullania spp.	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC14 (DUKE)	C. Rothfels	C. Rothfels
IRBN	Liverworts	Scapaniaceae	Scapania nemorosa	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC19 (DUKE)	C. Rothfels	L. Pokorny
OFTV	Liverworts	Scapaniaceae	Barbilophozia barbata	"gametophyte	 whole shoot/tip of shoots	 possibly s"	sequenced	AL601 (UPS)	A. Larsson	A. Larsson
HPXA	Liverworts	Ptilidiaceae	Ptilidium pulcherrimum	"gametophyte	 whole shoot/tip of shoots	 possibly s"	sequenced	AL602 (UPS)	A. Larsson	A. Larsson
LGOW	Liverworts	Schistochilaceae	Schistochila sp.	Vegetative	sequenced	Provided by Barbara Crandall-Stotler	D. W. Stevenson	D.W. Stevenson
UUHD	Liverworts	Porellaceae	Porella pinnata	Sterile (seemingly) branches	sequenced	Rothfels 4155 (DUKE)	C. Rothfels	C. Rothfels
NWQC	Liverworts	Plagiochilaceae/Fissidentaceae	mixed species	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC17 (DUKE)	C. Rothfels	C. Rothfels
TGKW	Liverworts	Frullaniaceae	Frullania sp.	young leaves	sequenced	Von Konrat 10021	D. Soltis	D. Soltis
JPYU	Liverworts	Marchantiaceae	Marchantia polymorpha	clean thalli without gemmules	sequenced	M.K. Deyholos 2016-126	M. Deyholos	M. Deyholos
TFYI	Liverworts	Marchantiaceae	Marchantia emarginata	whole plant	sequenced	in preparation	Tao Chen	BGI
HMHL	Liverworts	Marchantiaceae	Marchantia paleacea	young thallus edges - non_mycorrizal	sequenced	David Long (RBGE)	D. Beerling	D. Beerling
IHWO	Liverworts	Marchantiaceae	Marchantia paleacea	young thallus edges - mycorrizal	sequenced	David Long (RBGE)	D. Beerling	D. Beerling
ILBQ	Liverworts	Conocephalaceae	Conocephalum conicum	sterile thallus	sequenced	Pokorny NC18 (DUKE)	C. Rothfels	C. Rothfels
TXVB	Liverworts	Lunulariaceae	Lunularia cruciata	"gametophyte	 but including those structures with the gemmae"	sequenced	CJR4364 (DUKE)	C. Rothfels	C. Rothfels
TFDQ	Liverworts	Monocleaceae	Monoclea gottschei	Whole Plant	sequenced	SR6-2 #17	D. W. Stevenson	D.W. Stevenson
WJLO	Liverworts	Ricciaceae	Ricciocarpos natans	"gametophyte	 but possibly some sporophytic tissue "	sequenced	Rothfels 4133 (DUKE)	C. Rothfels	L. Pokorny
NRWZ	Liverworts	Metzgeriaceae	Metzgeria crassipilis	"gametophyte	 possibly some sporophytic tissue"	sequenced	Pokorny NC23 (DUKE)	C. Rothfels	L. Pokorny
YFGP	Liverworts	Pallaviciniaceae	Pallavicinia lyellii	Sterile (seemingly) branches	sequenced	Rothfels 4140 (DUKE)	C. Rothfels	C. Rothfels
PIUF	Liverworts	Pelliaceae	Pellia sp. (cf epiphylla (L.) Corda)	Sterile (seemingly) branches	sequenced	Li 1292 (DUKE)	C. Rothfels	C. Rothfels
JHFI	Liverworts	Pelliaceae	Pellia neesiana	gametophyte	sequenced	CJR4357 (DUKE)	C. Rothfels	C. Rothfels
YPSN	Liverworts	Pelliaceae	Noteroclada confluens	vegetative	sequenced			
KRUQ	Liverworts	Porellaceae	Porella navicularis	gametophyte	sequenced	S. Joya 725 (UBC)	S. Graham	S. Graham
BNCU	Liverworts	Radulaceae	Radula lindenbergiana	whole plant	sequenced	"Barbara Crandall-Stotler	 SUIC; 4656"	R. Stotler	L. DeGironimo
HERT	Liverworts	Sphaerocarpaceae	Sphaerocarpos texanus	"gametophyte	 possibly some sporophytic tissue"	sequenced	Rothfels 4139 (DUKE)	C. Rothfels	C. Rothfels
FITN	Liverworts	Treubiaceae	Treubia lacunosa	whole plant	sequenced	38	S. Floyd	S. Floyd
XMCL	Green Algae	Prasinococcaceae	Prasinococcus capsulatus	algal cells	sequenced	CCMP 1194	M. Melkonian	M. Melkonian
XJGM	Green Algae	Prasinococcaceae	coccoid-prasinophyte	algal cells	sequenced	NBRC 102842	M. Melkonian	B. Melkonian
HYHN	Green Algae	Prasinococcaceae	Prasinoderma coloniale	algal cells	sequenced	CCMP 1413	M. Melkonian	M. Melkonian
MXEZ	Green Algae	Pycnococcaceae	Pycnococcus provasolii	algal cells	sequenced	CCMP 1203	M. Melkonian	M. Melkonian
JMTE	Green Algae	Pycnococcaceae	Pseudoscourfieldia marina	algal cells	sequenced	SCCAP K-0017	M. Melkonian	M. Melkonian
TNAW	Green Algae	Pyramimonadaceae	Pyramimonas parkeae	algal cells	sequenced	CCAC 0082 (M1663/1)	M. Melkonian	M. Melkonian
XIVI	Green Algae	Pyramimonadaceae	Cymbomonas sp.	algal cells	sequenced	M3265	M. Melkonian	B. Melkonian
AYPS	Green Algae	incertae sedis	unidentified species	algal cells	sequenced	CCMP 1205	M. Melkonian	M. Melkonian
MCPK	Green Algae	Mamiellaceae	Bathycoccus prasinos	algal cells	sequenced	SCCAP K-0417	M. Melkonian	M. Melkonian
QXSZ	Green Algae	Mamiellaceae	Mantoniella squamata	algal cells	sequenced	CCAP 1965/1	M. Melkonian	M. Melkonian
BTFM	Green Algae	Monomasticaceae	Monomastix opisthostigma	algal cells	sequenced	CCAC 0206 (M2844/1)	M. Melkonian	M. Melkonian
XOAL	Green Algae	Dolichomastigaceae	Dolichomastix tenuilepis	algal cells	sequenced	M1680	M. Melkonian	M. Melkonian
MMKU	Green Algae	Nephroselmidaceae	Nephroselmis olivacea	algal cells	sequenced	CCAC 0105	M. Melkonian	M. Melkonian
ISIM	Green Algae	Nephroselmidaceae	Nephroselmis pyriformis	algal cells	sequenced	CCMP 717	M. Melkonian	M. Melkonian
FMVB	Green Algae	Chlorodendraceae	Scherffelia dubia	algal cells	sequenced	CCAC 0019 (M0795)	M. Melkonian	M. Melkonian
HVNO	Green Algae	Chlorodendraceae	Tetraselmis chui	cells grown on F/2 media	sequenced	UTEX LB 232	N. Clarke	N. Clarke
DUMA	Green Algae	Chlorodendraceae	Tetraselmis cordiformis	algal cells	sequenced	CCAC 0051 (M1608/1)	M. Melkonian	M. Melkonian
HHXJ	Green Algae	Chlorodendraceae	Tetraselmis striata	algal cells	sequenced	PLY 443	M. Melkonian	M. Melkonian
BAZF	Green Algae	Chaetopeltidaceae	Chaetopeltis orbicularis	algal cells	sequenced	SAG 21.98	M. Melkonian	M. Melkonian
VFIV	Green Algae	Chaetophoraceae	Fritschiella tuberosa	algal cells	sequenced	SAG 112.8	M. Melkonian	M. Melkonian
AJAU	Green Algae	Chaetophoraceae	Helicodictyon planctonicum	algal cells	sequenced	UTEX LB 1570	M. Melkonian	M. Melkonian
NQYP	Green Algae	Chaetophoraceae	Pirula salina	algal cells	sequenced	SAG 1.95	M. Melkonian	M. Melkonian
JMUI	Green Algae	Chaetophoraceae	Stigeoclonium helveticum	algal cells	sequenced	SAG 477-1	M. Melkonian	M. Melkonian
RAWF	Green Algae	Chaetophoraceae	Uronema belkae	algal cells	sequenced	SAG 34.86	M. Melkonian	M. Melkonian
ISGT	Green Algae	Chaetophoraceae	Uronema sp.	algal cells	sequenced	CCAP 334/1	M. Melkonian	M. Melkonian
IJMT	Green Algae	Aphanochaetaceae	Aphanochaete repens	algal cells	sequenced	M2226	M. Melkonian	M. Melkonian
GXBM	Green Algae	Coccomyxaceae	Coccomyxa pringsheimii	algal cells	sequenced	SAG 216-7	M. Melkonian	M. Melkonian
BZSH	Green Algae	Golenkiniaceae	Golenkinia longispicula	algal cells	sequenced	SAG 73.80	M. Melkonian	M. Melkonian
XKWQ	Green Algae	Hydrodictyaceae	Pediastrum duplex CCAC 0012	algal cells	sequenced	CCAC 0012 (M0549)	M. Melkonian	M. Melkonian
NLOM	Green Algae	Hydrodictyaceae	Pediastrum duplex CCAC 0012	algal cells	sequenced	CCAC 0012 (M0549)	M. Melkonian	M. Melkonian
XTON	Green Algae	Hydrodictyaceae	Pediastrum duplex CCAC 0147	algal cells	sequenced	CCAC 0147	M. Melkonian	M. Melkonian
PZIF	Green Algae	Scenedesmaceae	Scenedesmus dimorphus	cells grown on 3N-BBM-V media	sequenced	UTEX 746	N. Clarke	N. Clarke
